,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
71930,00:00,89.0,22.0,1,1,2021,14.0,0.0,79.0,1024.0,10.0,17.0,349.9,Partly cloudy
71931,03:00,83.0,22.0,1,1,2021,14.0,0.0,91.0,1022.0,12.0,18.0,339.5,Overcast
71932,06:00,83.0,22.0,1,1,2021,13.0,0.0,83.0,1023.0,13.0,19.0,326.0,Overcast
71933,09:00,84.0,23.0,1,1,2021,14.0,0.2,85.0,1024.0,13.0,19.0,334.1,Cloudy
71934,12:00,84.0,23.0,1,1,2021,15.0,0.4,83.0,1023.0,12.0,16.0,344.3,Light drizzle
71935,15:00,79.0,22.0,1,1,2021,15.0,0.1,82.0,1020.0,12.0,16.0,116.7,Light drizzle
71936,18:00,83.0,22.0,1,1,2021,15.0,0.1,83.0,1021.0,10.0,15.0,4.4,Cloudy
71937,21:00,83.0,22.0,1,1,2021,15.0,0.2,86.0,1022.0,8.0,12.0,231.2,Patchy rain possible
71938,00:00,69.0,14.0,2,1,2021,14.0,0.0,68.0,1022.0,8.0,13.0,329.0,Cloudy
71939,03:00,73.0,15.0,2,1,2021,13.0,0.0,54.0,1021.0,10.0,16.0,311.7,Cloudy
71940,06:00,69.0,14.0,2,1,2021,13.0,0.0,66.0,1021.0,12.0,19.0,310.8,Partly cloudy
71941,09:00,73.0,15.0,2,1,2021,14.0,0.0,62.0,1022.0,13.0,17.0,317.3,Cloudy
71942,12:00,64.0,14.0,2,1,2021,17.0,0.0,68.0,1020.0,12.0,14.0,333.7,Partly cloudy
71943,15:00,64.0,14.0,2,1,2021,17.0,0.0,74.0,1017.0,10.0,12.0,352.0,Cloudy
71944,18:00,69.0,14.0,2,1,2021,17.0,0.0,69.0,1018.0,4.0,6.0,358.1,Cloudy
71945,21:00,73.0,14.0,2,1,2021,16.0,0.0,72.0,1019.0,2.0,3.0,311.9,Cloudy
71946,00:00,83.0,15.0,3,1,2021,14.0,0.0,57.0,1019.0,4.0,7.0,268.4,Partly cloudy
71947,03:00,78.0,14.0,3,1,2021,14.0,0.0,69.0,1018.0,8.0,13.0,294.6,Partly cloudy
71948,06:00,78.0,15.0,3,1,2021,14.0,0.0,87.0,1019.0,10.0,14.0,307.1,Cloudy
71949,09:00,78.0,15.0,3,1,2021,15.0,0.0,96.0,1020.0,11.0,15.0,309.5,Overcast
71950,12:00,73.0,15.0,3,1,2021,16.0,0.0,88.0,1019.0,12.0,15.0,318.0,Overcast
71951,15:00,73.0,15.0,3,1,2021,17.0,0.0,92.0,1017.0,12.0,15.0,331.9,Cloudy
71952,18:00,78.0,15.0,3,1,2021,17.0,0.2,94.0,1019.0,12.0,17.0,332.8,Overcast
71953,21:00,73.0,14.0,3,1,2021,16.0,0.6,98.0,1020.0,13.0,19.0,316.5,Light drizzle
71954,00:00,83.0,15.0,4,1,2021,16.0,2.4,100.0,1020.0,11.0,17.0,333.3,Light rain
71955,03:00,83.0,15.0,4,1,2021,16.0,1.4,100.0,1019.0,10.0,16.0,322.4,Moderate rain
71956,06:00,78.0,15.0,4,1,2021,16.0,0.6,100.0,1019.0,8.0,13.0,310.6,Light drizzle
71957,09:00,78.0,16.0,4,1,2021,17.0,0.2,85.0,1021.0,10.0,13.0,316.9,Light drizzle
71958,12:00,73.0,17.0,4,1,2021,19.0,0.0,71.0,1019.0,13.0,16.0,340.5,Cloudy
71959,15:00,83.0,18.0,4,1,2021,20.0,0.0,73.0,1017.0,12.0,15.0,128.5,Cloudy
71960,18:00,78.0,16.0,4,1,2021,18.0,0.0,85.0,1018.0,7.0,11.0,21.9,Cloudy
71961,21:00,83.0,17.0,4,1,2021,18.0,0.0,92.0,1019.0,5.0,8.0,240.2,Overcast
71962,00:00,83.0,17.0,5,1,2021,17.0,0.0,53.0,1018.0,4.0,7.0,298.9,Cloudy
71963,03:00,94.0,18.0,5,1,2021,17.0,0.0,80.0,1017.0,7.0,11.0,299.6,Partly cloudy
71964,06:00,88.0,18.0,5,1,2021,17.0,0.0,97.0,1018.0,8.0,12.0,308.9,Overcast
71965,09:00,78.0,18.0,5,1,2021,17.0,0.0,99.0,1019.0,12.0,16.0,313.8,Overcast
71966,12:00,78.0,19.0,5,1,2021,18.0,0.1,100.0,1018.0,13.0,17.0,315.2,Overcast
71967,15:00,83.0,19.0,5,1,2021,18.0,0.2,100.0,1016.0,12.0,16.0,328.2,Patchy rain possible
71968,18:00,73.0,16.0,5,1,2021,18.0,0.4,100.0,1017.0,11.0,15.0,342.5,Light drizzle
71969,21:00,78.0,17.0,5,1,2021,17.0,0.8,100.0,1019.0,12.0,17.0,347.6,Light drizzle
71970,00:00,83.0,17.0,6,1,2021,17.0,1.7,100.0,1019.0,9.0,13.0,346.8,Light rain
71971,03:00,83.0,17.0,6,1,2021,18.0,1.1,100.0,1017.0,10.0,15.0,354.8,Light rain
71972,06:00,88.0,18.0,6,1,2021,17.0,0.9,100.0,1018.0,12.0,17.0,354.3,Light drizzle
71973,09:00,83.0,18.0,6,1,2021,17.0,0.8,100.0,1019.0,13.0,18.0,355.9,Light rain
71974,12:00,94.0,20.0,6,1,2021,18.0,1.0,100.0,1018.0,13.0,17.0,123.9,Light drizzle
71975,15:00,88.0,19.0,6,1,2021,18.0,0.5,100.0,1015.0,10.0,14.0,22.0,Light rain
71976,18:00,88.0,19.0,6,1,2021,18.0,0.2,93.0,1015.0,7.0,10.0,19.8,Light drizzle
71977,21:00,94.0,19.0,6,1,2021,18.0,0.1,95.0,1016.0,4.0,6.0,229.2,Light drizzle
71978,00:00,94.0,19.0,7,1,2021,16.0,0.1,99.0,1016.0,5.0,7.0,230.4,Patchy rain possible
71979,03:00,94.0,19.0,7,1,2021,18.0,0.1,99.0,1015.0,7.0,10.0,344.1,Patchy rain possible
71980,06:00,94.0,19.0,7,1,2021,18.0,0.4,100.0,1016.0,11.0,15.0,342.6,Patchy rain possible
71981,09:00,100.0,20.0,7,1,2021,18.0,0.6,100.0,1017.0,13.0,18.0,331.7,Light drizzle
71982,12:00,94.0,21.0,7,1,2021,18.0,1.2,100.0,1016.0,16.0,22.0,333.5,Light drizzle
